Class No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENDOR_NAME,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,STORE_NO_NAME,SITE_NO,VOLUME_BAND,SIZE_BAND,Sum of Sales $ LW,Sum of Sales $ LW LY,Sum of Margin $ LW,Sum of Margin $ LW LY,Sum of Receipt $ LW,Sum of Receipt $ LW LY,Sum of Sales $ QTD,Sum of Sales $ QTD LY,Sum of Margin $ QTD,Sum of Margin $ QTD LY,Sum of Receipt $ QTD,Sum of Receipt $ QTD LY,Sum of Sales $ YTD,Sum of Sales $ YTD LY,Sum of Margin $ YTD,Sum of Margin $ YTD LY,Sum of Receipt $ YTD,Sum of Receipt $ YTD LY,Sum of Total Inv LW TY,Sum of Total Inv LW LY,Sum of IN-Tran LW TY,Sum of In-Tran LW LY,Sum of Allocated LW TY,Sum of Allocated LW LY,Sum of SKU Count,Sum of In-Stock Stores
California,238 - Fresno,238,12M-15M,30K-40K,"$25,917","$27,160","$11,108","$12,786",$0,$0,"$25,917","$27,160","$11,108","$12,786",$0,$0,"$293,171","$326,893","$128,326","$145,998","$8,302","$10,785","$395,971","$391,035","$3,322","$9,656","$4,431","$2,884","$2,425","$2,072"
California,247 - Rohnert Park,247,9M-12M,40K-50K,"$18,487","$28,750","$7,610","$13,258",$0,$329,"$18,487","$28,750","$7,610","$13,258",$0,$329,"$270,282","$295,162","$117,635","$131,785","$4,592","$8,165","$363,623","$409,789","$8,661","$9,639","$3,235","$3,147","$2,418","$2,075"
California,259 - Elk Grove,259,6M-9M,40K-50K,"$13,208","$13,904","$6,105","$5,953",$0,$0,"$13,208","$13,904","$6,105","$5,953",$0,$0,"$130,580","$175,080","$56,238","$76,393","$4,629","$21,592","$256,436","$289,113","$4,656","$9,305","$1,030",$546,"$2,190","$1,981"
California,264 - Yuba City,264,Less than 6M,20K-30K,"$10,069","$11,606","$4,508","$5,336",$0,$667,"$10,069","$11,606","$4,508","$5,336",$0,$667,"$141,255","$150,710","$63,012","$67,530","$2,488","$7,316","$212,445","$253,354","$4,775","$6,818",$615,$452,"$2,125","$1,889"
California,266 - Santee,266,6M-9M,Less than 20K,"$8,313","$12,664","$3,732","$5,897",$340,$312,"$8,313","$12,664","$3,732","$5,897",$340,$312,"$170,228","$170,484","$74,775","$77,594","$2,811","$4,086","$185,403","$223,267",$0,"$2,621","$4,550","$3,441","$1,984","$1,729"
California,276 - Moreno Valley,276,Less than 6M,20K-30K,"$7,275","$9,889","$3,500","$4,533",$0,$655,"$7,275","$9,889","$3,500","$4,533",$0,$655,"$103,165","$128,710","$44,590","$56,534","$3,289","$2,468","$193,200","$230,802","$2,546","$4,756","$1,028",$942,"$1,806","$1,662"
Northeast,180 - Morgantown,180,Less than 6M,30K-40K,"$8,147","$12,785","$3,639","$4,297",$427,$0,"$8,147","$12,785","$3,639","$4,297",$427,$0,"$97,177","$138,034","$42,108","$55,287","$2,139","$3,801","$259,593","$332,457",$0,"$7,141","$2,133","$2,553","$2,168","$1,966"
Northeast,215 - Chambersburg,215,6M-9M,30K-40K,"$14,167","$15,789","$6,463","$7,335",$0,$575,"$14,167","$15,789","$6,463","$7,335",$0,$575,"$150,965","$175,860","$66,236","$76,607","$3,553","$5,322","$254,937","$291,317","$5,101","$8,203","$4,381","$6,195","$2,220","$1,957"
Northeast,219 - Robinson Township,219,Less than 6M,20K-30K,"$7,807","$3,664","$3,121","$1,451",$0,$446,"$7,807","$3,664","$3,121","$1,451",$0,$446,"$97,783","$114,431","$41,133","$46,648","$3,210","$5,813","$209,613","$252,292","$3,716","$7,977","$2,419","$4,454","$2,074","$1,857"
Northeast,220 - Traverse City,220,6M-9M,30K-40K,"$12,876","$12,900","$6,464","$5,823",$32,$800,"$12,876","$12,900","$6,464","$5,823",$32,$800,"$132,233","$166,675","$58,541","$71,873","$4,469","$4,656","$231,897","$278,168","$4,847",$0,"$4,055","$4,259","$2,301","$2,014"
Northeast,258 - Warminster,258,6M-9M,20K-30K,"$12,265","$14,980","$5,556","$6,972",$215,$0,"$12,265","$14,980","$5,556","$6,972",$215,$0,"$138,577","$149,966","$61,355","$66,728","$3,866","$6,032","$226,734","$242,987","$5,901","$8,246","$3,519","$5,669","$2,237","$1,915"
Northeast,265 - Eastgate,265,Less than 6M,20K-30K,"$8,958","$11,125","$3,895","$5,074",$694,$0,"$8,958","$11,125","$3,895","$5,074",$694,$0,"$105,385","$108,221","$44,908","$46,842","$3,038","$4,862","$198,154","$260,348","$4,355",$0,"$2,475","$3,925","$2,122","$1,866"
Northeast,270 - Brownsburg,270,Less than 6M,20K-30K,"$11,779","$9,816","$4,721","$4,142",$28,$184,"$11,779","$9,816","$4,721","$4,142",$28,$184,"$94,713","$88,410","$40,446","$37,949","$1,793","$2,142","$225,434","$284,089","$4,380","$4,534","$2,409","$2,865","$2,094","$1,891"
Northeast,273 - Parkersburg,273,Less than 6M,20K-30K,"$8,574","$11,831","$3,953","$5,334",$0,$0,"$8,574","$11,831","$3,953","$5,334",$0,$0,"$104,373","$120,199","$45,117","$52,702","$3,053","$3,210","$212,817","$263,470","$4,187","$5,139","$2,503","$3,601","$2,137","$1,919"
Northeast,274 - Wausau,274,Less than 6M,Greater than 60K,"$13,472","$24,166","$6,425","$11,594",$0,$0,"$13,472","$24,166","$6,425","$11,594",$0,$0,"$158,800","$206,096","$69,615","$90,933","$1,304","$4,019","$353,064","$481,292","$7,509","$34,836","$4,054","$3,944","$2,298","$2,039"
Northeast,275 - Racine,275,Less than 6M,30K-40K,"$6,779","$6,861","$2,549","$2,965",$0,$0,"$6,779","$6,861","$2,549","$2,965",$0,$0,"$88,674","$93,905","$36,082","$39,075","$2,792","$4,227","$246,609","$308,814",$0,"$5,448","$1,934","$1,680","$2,098","$1,888"
Northeast,604 - Horseheads,604,9M-12M,50K-60K,"$21,928","$23,611","$10,243","$10,101",$0,$46,"$21,928","$23,611","$10,243","$10,101",$0,$46,"$215,191","$253,349","$93,208","$107,637","$1,696","$27,732","$449,466","$507,026","$6,050","$10,609","$23,216","$3,756","$2,404","$2,134"
Northeast,605 - Rochester,605,9M-12M,50K-60K,"$18,963","$23,640","$9,216","$11,049",$753,"$22,440","$18,963","$23,640","$9,216","$11,049",$753,"$22,440","$201,239","$222,335","$87,767","$98,052","$4,048","$27,884","$391,507","$496,729","$12,348","$13,089","$31,625","$5,598","$2,379","$2,083"
Northeast,606 - Altoona,606,9M-12M,50K-60K,"$23,854","$24,579","$10,458","$10,663",$0,$621,"$23,854","$24,579","$10,458","$10,663",$0,$621,"$229,389","$294,852","$100,578","$120,517","$3,645","$27,585","$440,398","$483,737","$7,909","$11,077","$27,741","$7,022","$2,507","$2,184"
Northeast,607 - Camp Hill,607,9M-12M,50K-60K,"$19,022","$20,586","$8,413","$9,539","$1,079","$1,822","$19,022","$20,586","$8,413","$9,539","$1,079","$1,822","$185,714","$234,140","$80,717","$100,564","$3,732","$29,973","$395,752","$468,784","$6,130","$12,817","$26,958","$6,181","$2,466","$2,152"
Northeast,608 - Washington,608,9M-12M,50K-60K,"$19,835","$19,792","$8,959","$8,831",$22,$110,"$19,835","$19,792","$8,959","$8,831",$22,$110,"$203,555","$238,130","$89,875","$99,172","$3,285","$27,633","$388,202","$436,987","$6,506","$14,045","$23,768","$9,459","$2,469","$2,132"
Northeast,610 - Kalamazoo,610,9M-12M,50K-60K,"$18,259","$23,905","$8,521","$10,944",$846,$542,"$18,259","$23,905","$8,521","$10,944",$846,$542,"$233,211","$245,898","$100,489","$106,627","$3,803","$28,894","$363,814","$433,466",$0,$0,"$30,999","$4,877","$2,497","$2,143"
Northeast,611 - Erie,611,9M-12M,50K-60K,"$22,884","$23,805","$10,384","$9,781",$0,$0,"$22,884","$23,805","$10,384","$9,781",$0,$0,"$231,526","$267,000","$101,038","$113,183","$2,756","$27,788","$416,067","$468,385","$7,438","$10,476","$22,766","$4,009","$2,503","$2,179"
Northwest,158 - Medford,158,12M-15M,50K-60K,"$34,525","$40,077","$14,683","$18,083",$0,$393,"$34,525","$40,077","$14,683","$18,083",$0,$393,"$396,145","$477,854","$162,901","$205,093","$5,860","$7,401","$642,097","$586,362","$18,584","$19,477","$5,321","$3,252","$2,736","$2,356"
Northwest,179 - Moses Lake,179,6M-9M,20K-30K,"$12,792","$18,453","$5,550","$8,990",$595,$679,"$12,792","$18,453","$5,550","$8,990",$595,$679,"$151,378","$199,744","$66,286","$85,799","$2,150","$4,751","$247,502","$265,100",$0,$0,"$3,789","$5,250","$2,061","$1,862"
Northwest,185 - Everett,185,9M-12M,30K-40K,"$11,941","$16,302","$5,614","$7,510",$329,$0,"$11,941","$16,302","$5,614","$7,510",$329,$0,"$141,992","$176,058","$61,418","$76,775","$1,520","$5,453","$318,541","$366,718","$9,065","$7,179","$1,735",$475,"$2,310","$2,088"
Northwest,189 - Walla Walla,189,Less than 6M,Less than 20K,"$13,649","$13,474","$5,815","$6,283",$0,$0,"$13,649","$13,474","$5,815","$6,283",$0,$0,"$119,918","$140,444","$50,619","$58,016","$1,560","$4,185","$182,920","$239,419",$0,$0,"$2,627","$4,978","$1,854","$1,670"
Northwest,204 - Portland,204,12M-15M,40K-50K,"$31,761","$34,512","$13,373","$14,758","$1,418","$2,676","$31,761","$34,512","$13,373","$14,758","$1,418","$2,676","$331,347","$393,556","$135,949","$154,329","$16,909","$7,744","$555,251","$577,656","$13,046","$16,095","$3,396","$1,721","$2,664","$2,345"
Northwest,205 - Salem,205,12M-15M,40K-50K,"$35,304","$33,049","$14,564","$14,939",$237,"$1,995","$35,304","$33,049","$14,564","$14,939",$237,"$1,995","$317,050","$376,824","$130,458","$155,714","$5,170","$6,222","$516,172","$524,407","$9,117","$14,715","$3,280","$2,344","$2,617","$2,301"
Northwest,207 - Kennewick,207,12M-15M,40K-50K,"$25,873","$35,186","$11,632","$16,291",$0,$0,"$25,873","$35,186","$11,632","$16,291",$0,$0,"$284,268","$348,117","$121,861","$146,865","$4,790","$10,782","$517,141","$518,535","$7,971","$14,511","$10,111","$12,202","$2,547","$2,246"
Northwest,208 - Vancouver,208,15M-18M,40K-50K,"$32,921","$41,738","$15,004","$18,582","$1,473","$3,915","$32,921","$41,738","$15,004","$18,582","$1,473","$3,915","$308,670","$399,547","$137,523","$171,864","$14,807","$10,639","$497,614","$535,658","$10,650","$16,541","$4,631","$2,375","$2,551","$2,191"
Northwest,209 - Silverdale,209,9M-12M,40K-50K,"$22,767","$20,292","$10,233","$10,015","$1,217",$0,"$22,767","$20,292","$10,233","$10,015","$1,217",$0,"$200,669","$258,084","$87,329","$115,200","$3,858","$5,374","$347,213","$405,653","$1,800","$9,155","$12,264",$696,"$2,400","$2,106"
Northwest,210 - Federal Way,210,9M-12M,40K-50K,"$14,961","$18,947","$6,970","$8,228",$0,$0,"$14,961","$18,947","$6,970","$8,228",$0,$0,"$171,249","$208,431","$74,987","$87,812","$12,191","$8,628","$339,130","$396,314","$6,990","$10,790","$6,514",$679,"$2,321","$2,076"
Northwest,213 - Puyallup,213,9M-12M,50K-60K,"$19,879","$21,704","$8,630","$9,704",$0,$598,"$19,879","$21,704","$8,630","$9,704",$0,$598,"$192,599","$234,651","$80,570","$98,899","$4,084","$7,617","$362,958","$410,010",$0,"$12,416","$11,907",$567,"$2,422","$2,121"
Northwest,218 - Bellingham,218,Less than 6M,20K-30K,"$14,842","$12,460","$6,919","$5,321",$0,$0,"$14,842","$12,460","$6,919","$5,321",$0,$0,"$123,292","$115,804","$53,382","$46,815","$2,954","$2,540","$207,332","$256,751",$0,"$6,428","$4,961","$4,658","$2,079","$1,838"
Northwest,230 - Hillsboro,230,12M-15M,40K-50K,"$25,719","$31,663","$10,483","$14,084",$42,"$2,129","$25,719","$31,663","$10,483","$14,084",$42,"$2,129","$285,966","$357,044","$113,090","$142,454","$22,910","$26,022","$556,853","$490,469","$15,509","$12,866","$2,668","$35,575","$2,589","$2,279"
Northwest,231 - Wenatchee,231,6M-9M,40K-50K,"$15,526","$16,018","$7,354","$7,548",$0,$154,"$15,526","$16,018","$7,354","$7,548",$0,$154,"$148,022","$164,172","$64,632","$73,067","$2,723","$6,068","$280,776","$321,443",$0,$0,"$4,520","$4,637","$2,246","$1,998"
Northwest,235 - Kelso,235,6M-9M,40K-50K,"$17,992","$17,706","$7,681","$7,944","$1,286","$1,361","$17,992","$17,706","$7,681","$7,944","$1,286","$1,361","$183,151","$201,633","$79,676","$87,829","$5,547","$6,769","$322,439","$342,694",$0,"$8,832","$9,130",$282,"$2,339","$2,042"
Northwest,241 - Klamath,241,Less than 6M,20K-30K,"$14,570","$14,662","$5,843","$7,212",$250,$332,"$14,570","$14,662","$5,843","$7,212",$250,$332,"$147,317","$156,930","$61,593","$70,913","$1,573","$2,190","$210,532","$238,647","$4,164","$7,409","$1,526",$659,"$1,990","$1,777"
Northwest,245 - Albany,245,6M-9M,30K-40K,"$19,698","$23,973","$8,689","$10,071",$704,$0,"$19,698","$23,973","$8,689","$10,071",$704,$0,"$199,746","$237,396","$84,301","$96,349","$3,703","$5,116","$332,700","$317,577","$8,986","$8,693","$1,701","$1,013","$2,390","$2,124"
Northwest,249 - Roseburg,249,6M-9M,30K-40K,"$24,681","$22,773","$10,524","$10,783",$376,$143,"$24,681","$22,773","$10,524","$10,783",$376,$143,"$233,149","$232,628","$98,049","$99,897","$1,910","$5,264","$378,953","$340,482","$13,544","$17,633","$2,704","$1,909","$2,417","$2,136"
Northwest,278 - Sequim,278,Less than 6M,20K-30K,"$7,660","$8,348","$3,547","$3,914",$0,$0,"$7,660","$8,348","$3,547","$3,914",$0,$0,"$81,398","$99,791","$36,811","$44,536","$1,123",$915,"$211,616","$258,420","$3,565","$5,136",$0,$841,"$2,060","$1,855"
Southeast,152 - Chattanooga,152,9M-12M,Greater than 60K,"$15,366","$13,370","$6,632","$5,867",$256,$301,"$15,366","$13,370","$6,632","$5,867",$256,$301,"$177,561","$211,606","$82,201","$92,184","$2,791","$7,208","$330,208","$375,496","$8,197","$9,599","$4,962","$8,164","$2,433","$2,159"
Southeast,155 - Columbia,155,9M-12M,Greater than 60K,"$18,034","$23,556","$8,406","$10,473",$843,"$1,141","$18,034","$23,556","$8,406","$10,473",$843,"$1,141","$254,582","$336,089","$115,643","$149,437","$6,980","$11,964","$379,293","$415,028","$7,559","$15,882","$7,010","$8,147","$2,475","$2,144"
Southeast,163 - Lexington,163,6M-9M,40K-50K,"$11,983","$12,032","$5,301","$5,623",$0,$493,"$11,983","$12,032","$5,301","$5,623",$0,$493,"$138,816","$156,027","$59,318","$67,050","$2,763","$4,759","$304,716","$364,506",$0,$0,"$4,301","$7,886","$2,283","$2,038"
Southeast,177 - Wilmington,177,6M-9M,30K-40K,"$10,129","$17,392","$4,807","$7,699",$20,$429,"$10,129","$17,392","$4,807","$7,699",$20,$429,"$167,611","$193,602","$76,256","$84,696","$2,151","$6,182","$278,520","$304,232",$0,$0,"$5,907","$7,991","$2,349","$2,049"
Southeast,191 - Anderson,191,6M-9M,30K-40K,"$11,865","$9,428","$4,960","$4,252",$621,"$1,982","$11,865","$9,428","$4,960","$4,252",$621,"$1,982","$151,113","$160,025","$64,728","$69,443","$4,663","$6,918","$252,434","$295,828","$7,855",$0,"$4,857","$6,513","$2,312","$2,028"
Southeast,196 - Murfreesboro,196,9M-12M,30K-40K,"$13,524","$14,954","$6,159","$6,322",$0,"$2,017","$13,524","$14,954","$6,159","$6,322",$0,"$2,017","$193,676","$224,669","$86,266","$97,015","$5,014","$12,375","$277,918","$337,821","$8,153",$0,"$5,405","$8,753","$2,360","$2,016"
Southeast,211 - Southaven,211,6M-9M,40K-50K,"$12,320","$16,380","$5,753","$6,530",$0,$118,"$12,320","$16,380","$5,753","$6,530",$0,$118,"$164,719","$176,707","$73,351","$74,533","$3,238","$6,260","$294,924","$343,712",$0,$0,"$3,528","$7,597","$2,351","$2,088"
Southeast,223 - Roanoke,223,9M-12M,40K-50K,"$21,613","$22,236","$9,360","$10,770",$470,$0,"$21,613","$22,236","$9,360","$10,770",$470,$0,"$229,893","$280,124","$102,527","$119,460","$7,479","$8,497","$402,770","$442,807",$0,$0,"$6,397","$8,998","$2,500","$2,198"
Southeast,250 - Slidell,250,Less than 6M,30K-40K,"$7,759","$12,172","$3,947","$4,974",$23,$387,"$7,759","$12,172","$3,947","$4,974",$23,$387,"$113,504","$140,415","$53,143","$61,975","$2,695","$5,031","$262,144","$305,717",$227,"$6,270","$2,692","$2,909","$2,176","$1,895"
Southeast,256 - Lady Lake,256,6M-9M,30K-40K,"$14,237","$13,158","$6,327","$5,629",$208,$272,"$14,237","$13,158","$6,327","$5,629",$208,$272,"$167,505","$184,656","$76,608","$82,985","$3,047","$5,285","$241,895","$301,942","$4,666",$0,"$1,998","$3,498","$2,213","$1,900"
Southeast,267 - Jacksonville,267,6M-9M,30K-40K,"$9,586","$8,267","$3,825","$3,568",$873,$0,"$9,586","$8,267","$3,825","$3,568",$873,$0,"$123,231","$141,909","$53,281","$59,747","$3,841","$2,813","$278,532","$336,491",$0,$0,"$2,223","$1,911","$2,185","$1,937"
Southeast,268 - Seminole,268,Less than 6M,30K-40K,"$6,849","$10,388","$2,960","$4,344",$0,$0,"$6,849","$10,388","$2,960","$4,344",$0,$0,"$118,467","$123,501","$54,188","$53,722","$1,740","$2,901","$257,206","$305,367","$3,884",$0,"$2,151","$3,099","$2,204","$1,949"
Southeast,271 - Lynchburg,271,6M-9M,30K-40K,"$17,187","$16,643","$7,785","$8,301",$0,$0,"$17,187","$16,643","$7,785","$8,301",$0,$0,"$188,213","$189,104","$85,950","$86,381","$3,036","$1,811","$258,133","$270,926",$0,"$8,426","$4,878","$8,630","$2,345","$2,032"
Southeast,272 - Naples,272,Less than 6M,20K-30K,"$8,318","$7,136","$3,751","$3,351",$397,$0,"$8,318","$7,136","$3,751","$3,351",$397,$0,"$116,121","$103,303","$51,877","$46,526",$996,"$3,192","$238,322","$299,579","$3,388","$8,084","$2,207","$2,022","$2,160","$1,878"
Southeast,279 - Fredericksburg,279,Less than 6M,Greater than 60K,"$14,867","$15,114","$7,037","$7,022",$815,"$1,571","$14,867","$15,114","$7,037","$7,022",$815,"$1,571","$167,870","$185,196","$74,091","$80,506","$4,831","$5,648","$295,546","$375,606","$5,307","$6,965","$3,602","$6,284","$2,329","$2,054"
Southeast,280 - Winchester,280,Less than 6M,30K-40K,"$12,910","$12,957","$5,757","$6,161",$0,$0,"$12,910","$12,957","$5,757","$6,161",$0,$0,"$139,952","$157,792","$62,467","$70,746","$2,700","$5,609","$202,439","$231,887","$4,978",$0,"$3,203","$5,723","$2,240","$1,920"
Southeast,281 - Cape Coral,281,Less than 6M,20K-30K,"$6,748","$9,551","$3,121","$4,558",$502,$0,"$6,748","$9,551","$3,121","$4,558",$502,$0,"$114,844","$123,843","$53,399","$57,578","$1,921","$3,647","$239,369","$287,738","$5,050","$8,545","$2,150","$3,802","$2,078","$1,794"
Southeast,282 - Tampa Highwoods,282,Less than 6M,30K-40K,"$7,020","$6,423","$3,192","$2,863",$0,$391,"$7,020","$6,423","$3,192","$2,863",$0,$391,"$85,078","$87,243","$38,066","$36,947","$2,356","$3,544","$278,357","$346,751",$0,$0,$950,"$1,318","$2,093","$1,916"
Southeast,283 - Hot Springs,283,Less than 6M,20K-30K,"$7,122","$10,708","$3,307","$4,969",$0,$218,"$7,122","$10,708","$3,307","$4,969",$0,$218,"$118,670","$125,992","$55,918","$58,339","$1,919","$4,576","$204,883","$261,468",$265,$0,"$2,770","$4,921","$2,128","$1,859"
Southeast,602 - Asheville,602,12M-15M,50K-60K,"$28,964","$29,006","$13,242","$13,415",$0,$345,"$28,964","$29,006","$13,242","$13,415",$0,$345,"$342,263","$300,250","$154,118","$134,266","$23,365","$31,372","$378,117","$462,306","$11,776","$24,911","$34,997","$12,333","$2,464","$2,042"
Southeast,603 - Greensboro,603,12M-15M,40K-50K,"$14,479","$23,816","$6,588","$11,194",$471,$642,"$14,479","$23,816","$6,588","$11,194",$471,$642,"$227,973","$271,350","$102,907","$118,253","$4,124","$29,236","$416,024","$447,831","$5,663",$0,"$29,253","$10,931","$2,472","$2,086"
Southeast,609 - Crescent Springs,609,6M-9M,50K-60K,"$17,309","$12,804","$7,663","$5,959",$765,$790,"$17,309","$12,804","$7,663","$5,959",$765,$790,"$172,436","$176,306","$76,818","$76,143","$2,853","$4,384","$329,263","$387,206","$1,241","$6,362","$25,895","$7,440","$2,430","$2,079"
Southeast,612 - North Charleston,612,6M-9M,50K-60K,"$18,807","$13,304","$8,121","$6,285",$0,$933,"$18,807","$13,304","$8,121","$6,285",$0,$933,"$244,502","$243,569","$110,243","$108,639","$3,939","$7,837","$334,477","$389,927","$8,813","$9,681","$23,323","$6,257","$2,459","$2,090"
