Class No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENDOR_NAME,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,STORE_NO_NAME,SITE_NO,VOLUME_BAND,SIZE_BAND,Sum of Sales $ LW,Sum of Sales $ LW LY,Sum of Margin $ LW,Sum of Margin $ LW LY,Sum of Receipt $ LW,Sum of Receipt $ LW LY,Sum of Sales $ QTD,Sum of Sales $ QTD LY,Sum of Margin $ QTD,Sum of Margin $ QTD LY,Sum of Receipt $ QTD,Sum of Receipt $ QTD LY,Sum of Sales $ YTD,Sum of Sales $ YTD LY,Sum of Margin $ YTD,Sum of Margin $ YTD LY,Sum of Receipt $ YTD,Sum of Receipt $ YTD LY,Sum of Total Inv LW TY,Sum of Total Inv LW LY,Sum of IN-Tran LW TY,Sum of In-Tran LW LY,Sum of Allocated LW TY,Sum of Allocated LW LY,Sum of SKU Count,Sum of In-Stock Stores
Rocky Mtn,138 - CO Springs,138,6M-9M,50K-60K,"$15,327","$13,640","$6,531","$6,251",$159,$0,"$15,327","$13,640","$6,531","$6,251",$159,$0,"$146,669","$176,537","$63,253","$75,758","$3,304","$6,723","$313,392","$365,106",$0,"$7,192","$3,923","$3,238","$2,368","$2,126"
Rocky Mtn,178 - Cedar City,178,6M-9M,Less than 20K,"$21,882","$19,868","$9,316","$9,061","$2,165",$0,"$21,882","$19,868","$9,316","$9,061","$2,165",$0,"$233,804","$240,877","$98,148","$104,329","$5,720","$5,340","$335,766","$284,896",$0,$0,"$6,665","$4,772","$2,084","$1,837"
Rocky Mtn,182 - Pueblo,182,Less than 6M,Less than 20K,"$13,098","$13,756","$5,880","$6,248",$0,$0,"$13,098","$13,756","$5,880","$6,248",$0,$0,"$130,525","$156,764","$57,960","$66,543","$2,657","$7,464","$195,851","$213,662","$5,325","$2,312","$4,223","$2,426","$1,976","$1,746"
Rocky Mtn,188 - Spokane Valley,188,6M-9M,30K-40K,"$10,057","$21,282","$4,676","$8,897",$0,$507,"$10,057","$21,282","$4,676","$8,897",$0,$507,"$125,852","$183,115","$54,547","$78,238","$3,386","$5,911","$295,276","$324,256","$6,774","$9,255","$5,452",$196,"$2,317","$2,086"
Rocky Mtn,190 - Sheridan WY,190,Less than 6M,Less than 20K,"$8,921","$12,485","$3,583","$5,723",$0,$0,"$8,921","$12,485","$3,583","$5,723",$0,$0,"$90,644","$113,028","$36,881","$47,441","$1,228","$1,956","$181,511","$227,478","$5,497",$0,"$1,084","$1,751","$1,845","$1,654"
Rocky Mtn,201 - Missoula,201,6M-9M,40K-50K,"$20,654","$20,283","$9,027","$8,893","$1,374",$496,"$20,654","$20,283","$9,027","$8,893","$1,374",$496,"$199,588","$218,350","$82,818","$91,816","$12,284","$4,490","$412,113","$455,504","$9,068",$0,"$4,492","$4,158","$2,428","$2,172"
Rocky Mtn,202 - Helena,202,9M-12M,40K-50K,"$35,986","$37,943","$15,718","$17,607",$0,$420,"$35,986","$37,943","$15,718","$17,607",$0,$420,"$341,095","$366,556","$147,196","$157,918","$12,885","$8,334","$518,076","$523,427","$12,741","$1,734","$6,658","$3,406","$2,596","$2,259"
Rocky Mtn,203 - Bozeman,203,12M-15M,40K-50K,"$56,937","$58,367","$23,705","$26,025",$0,$764,"$56,937","$58,367","$23,705","$26,025",$0,$764,"$437,651","$464,440","$183,475","$194,967","$22,199","$18,912","$688,774","$746,188","$17,864","$14,280","$15,551","$4,043","$2,712","$2,311"
Rocky Mtn,206 - Bend,206,15M-18M,40K-50K,"$51,192","$51,223","$21,742","$21,003",$41,"$1,172","$51,192","$51,223","$21,742","$21,003",$41,"$1,172","$476,197","$509,317","$199,992","$212,807","$16,668","$16,111","$695,896","$796,499","$16,070","$4,084","$8,012","$2,150","$2,689","$2,327"
Rocky Mtn,214 - Parker,214,6M-9M,50K-60K,"$9,845","$16,977","$4,231","$7,551",$0,$0,"$9,845","$16,977","$4,231","$7,551",$0,$0,"$156,377","$200,395","$66,010","$81,811","$3,046","$3,778","$372,704","$421,671",$855,"$9,463","$3,461","$3,895","$2,409","$2,160"
Rocky Mtn,216 - Laramie,216,Less than 6M,Less than 20K,"$6,261","$5,616","$2,865","$2,374",$0,"$1,233","$6,261","$5,616","$2,865","$2,374",$0,"$1,233","$78,143","$82,806","$30,469","$33,400","$2,373","$2,864","$163,660","$166,881",$0,$0,"$1,894","$1,178","$1,617","$1,445"
Rocky Mtn,224 - Nampa,224,12M-15M,40K-50K,"$24,947","$25,148","$10,788","$11,883","$1,476",$445,"$24,947","$25,148","$10,788","$11,883","$1,476",$445,"$244,680","$301,711","$105,705","$126,198","$4,533","$8,641","$475,949","$508,699","$8,331","$13,258","$3,074","$2,064","$2,527","$2,249"
Rocky Mtn,226 - Lewiston,226,6M-9M,40K-50K,"$16,422","$22,524","$7,585","$10,324",$0,$61,"$16,422","$22,524","$7,585","$10,324",$0,$61,"$202,682","$231,525","$86,560","$97,312","$2,198","$2,357","$349,378","$341,300","$7,950","$9,399",$949,"$1,559","$2,487","$2,180"
Rocky Mtn,227 - Cheyenne,227,6M-9M,30K-40K,"$15,234","$19,109","$6,996","$8,091",$0,$0,"$15,234","$19,109","$6,996","$8,091",$0,$0,"$184,432","$203,754","$78,838","$84,236","$2,362","$4,906","$298,527","$294,005","$7,599","$7,833","$3,109","$2,242","$2,405","$2,091"
Rocky Mtn,228 - Logan,228,6M-9M,30K-40K,"$23,536","$22,304","$10,590","$9,901",$0,"$1,200","$23,536","$22,304","$10,590","$9,901",$0,"$1,200","$212,648","$236,726","$89,976","$94,092","$6,540","$5,359","$352,912","$357,604",$0,$0,"$4,639","$2,595","$2,416","$2,137"
Rocky Mtn,234 - Vernal,234,Less than 6M,30K-40K,"$14,393","$23,721","$6,547","$10,166",$0,$0,"$14,393","$23,721","$6,547","$10,166",$0,$0,"$170,581","$211,843","$74,882","$91,280","$1,672","$4,435","$324,786","$320,266",$0,$0,"$5,131","$3,355","$2,427","$2,162"
Rocky Mtn,236 - Pocatello,236,6M-9M,30K-40K,"$24,221","$25,464","$10,911","$11,233",$0,$232,"$24,221","$25,464","$10,911","$11,233",$0,$232,"$212,829","$228,095","$93,004","$96,676","$10,508","$6,535","$411,411","$403,357","$9,107",$0,"$2,518","$15,276","$2,458","$2,184"
Rocky Mtn,237 - Spokane,237,6M-9M,30K-40K,"$15,088","$18,211","$7,025","$8,829",$0,$0,"$15,088","$18,211","$7,025","$8,829",$0,$0,"$135,800","$187,714","$59,841","$79,870",$340,"$1,029","$288,493","$325,622","$5,482","$9,338","$8,622",$456,"$2,252","$2,004"
Rocky Mtn,240 - Heber City,240,Less than 6M,Less than 20K,"$16,912","$21,300","$7,601","$9,432",$0,$0,"$16,912","$21,300","$7,601","$9,432",$0,$0,"$146,611","$183,035","$64,868","$75,903","$1,778","$3,834","$287,933","$294,895","$2,162",$0,"$3,646","$2,770","$2,016","$1,794"
Rocky Mtn,243 - Sheridan CO,243,6M-9M,30K-40K,"$18,238","$23,102","$7,585","$11,059",$0,"$1,095","$18,238","$23,102","$7,585","$11,059",$0,"$1,095","$181,933","$205,034","$78,283","$90,781","$3,685","$8,788","$271,756","$290,435","$7,186","$6,844","$6,384","$4,238","$2,367","$2,064"
Rocky Mtn,246 - South Jordan,246,6M-9M,30K-40K,"$16,907","$20,163","$7,166","$8,491",$0,"$1,049","$16,907","$20,163","$7,166","$8,491",$0,"$1,049","$191,230","$207,096","$75,919","$83,980","$4,020","$9,173","$385,350","$390,207",$0,$0,"$7,215","$4,762","$2,427","$2,168"
Rocky Mtn,254 - Rock Springs,254,Less than 6M,Less than 20K,"$11,024","$15,414","$4,256","$6,017",$0,$0,"$11,024","$15,414","$4,256","$6,017",$0,$0,"$106,104","$130,116","$40,589","$53,888","$1,948","$5,445","$235,938","$260,595",$0,$0,"$1,469","$1,546","$1,913","$1,733"
Rocky Mtn,255 - Gillette,255,Less than 6M,Less than 20K,"$13,740","$16,980","$6,022","$7,873",$0,$0,"$13,740","$16,980","$6,022","$7,873",$0,$0,"$154,645","$179,036","$63,465","$78,677","$1,491","$5,067","$217,125","$257,149",$0,$0,"$3,063","$1,812","$2,010","$1,795"
Rocky Mtn,261 - Stansbury,261,Less than 6M,Less than 20K,"$9,476","$7,319","$3,778","$3,308",$0,$257,"$9,476","$7,319","$3,778","$3,308",$0,$257,"$91,941","$100,934","$37,895","$42,250","$1,835","$1,863","$179,074","$194,699",$0,$0,"$1,556","$2,001","$1,678","$1,509"
Rocky Mtn,262 - Riverton,262,Less than 6M,Less than 20K,"$7,330","$4,784","$3,121","$2,117",$382,$420,"$7,330","$4,784","$3,121","$2,117",$382,$420,"$61,708","$75,441","$24,385","$29,861","$1,285","$2,397","$175,481","$206,498",$0,$0,$663,$798,"$1,668","$1,531"
Rocky Mtn,263 - Saratoga Springs,263,6M-9M,30K-40K,"$18,316","$18,755","$8,635","$8,458",$354,$649,"$18,316","$18,755","$8,635","$8,458",$354,$649,"$187,129","$229,330","$80,307","$92,514","$4,059","$5,764","$377,520","$396,238",$0,$0,"$2,176","$1,144","$2,419","$2,151"
Rocky Mtn,269 - Montrose,269,Less than 6M,Less than 20K,"$8,788","$11,508","$4,051","$4,607",$0,$0,"$8,788","$11,508","$4,051","$4,607",$0,$0,"$104,454","$121,909","$44,389","$52,028","$1,256","$1,794","$180,797","$201,991",$0,"$3,979","$2,463","$2,327","$1,802","$1,599"
Rocky Mtn,277 - Colorado Springs,277,Less than 6M,30K-40K,"$9,993","$7,909","$4,341","$3,785",$0,$208,"$9,993","$7,909","$4,341","$3,785",$0,$208,"$102,164","$108,955","$43,477","$47,503","$1,694","$1,982","$231,528","$289,464",$0,"$5,067","$1,595","$1,734","$2,094","$1,843"
Rocky Mtn,400 - Legacy,400,Less than 6M,Less than 20K,$126,$129,$43,$69,$0,$0,$126,$129,$43,$69,$0,$0,"$3,004","$1,816","$1,006",$847,$459,$0,"$6,426","$7,839",$0,$0,$28,$0,$95,$85
Midwest,120 - Ankeny,120,6M-9M,40K-50K,"$13,706","$15,627","$6,428","$7,418",$377,$685,"$13,706","$15,627","$6,428","$7,418",$377,$685,"$132,572","$164,698","$59,617","$70,357","$2,567","$4,722","$280,334","$345,165","$4,510","$12,995","$3,009","$1,934","$2,324","$2,121"
Midwest,193 - Coon Rapids,193,6M-9M,40K-50K,"$14,316","$19,296","$6,434","$9,648",$0,$0,"$14,316","$19,296","$6,434","$9,648",$0,$0,"$138,401","$172,609","$60,653","$73,098","$2,699","$5,443","$270,731","$323,212",$0,"$4,443","$7,441","$4,880","$2,200","$1,949"
Midwest,194 - Lansing,194,6M-9M,30K-40K,"$16,496","$17,227","$7,223","$7,723",$0,$0,"$16,496","$17,227","$7,223","$7,723",$0,$0,"$161,014","$176,790","$67,407","$74,347","$2,897","$4,073","$283,753","$296,241","$8,940","$9,955","$3,968","$5,367","$2,357","$2,060"
Midwest,195 - Fort Wayne,195,6M-9M,20K-30K,"$14,094","$16,789","$5,678","$7,472",$0,$129,"$14,094","$16,789","$5,678","$7,472",$0,$129,"$137,166","$152,304","$54,854","$62,970","$3,305","$3,743","$246,108","$298,021","$5,223","$3,819","$4,273","$3,988","$2,282","$2,007"
Midwest,199 - Grand Island,199,Less than 6M,30K-40K,"$9,140","$12,936","$4,507","$6,207",$135,$0,"$9,140","$12,936","$4,507","$6,207",$135,$0,"$116,690","$129,192","$48,201","$54,476","$2,546","$3,469","$237,824","$286,749","$3,857","$5,599","$1,940","$1,615","$2,163","$1,928"
Midwest,242 - Williston,242,6M-9M,30K-40K,"$21,943","$24,992","$9,859","$12,276",$0,"$2,852","$21,943","$24,992","$9,859","$12,276",$0,"$2,852","$200,969","$224,947","$85,814","$98,946","$4,422","$8,307","$316,476","$329,141",$0,"$7,533","$5,813","$2,396","$2,467","$2,088"
Midwest,260 - Greenwood,260,Less than 6M,30K-40K,"$8,542","$8,926","$3,769","$3,620",$279,$167,"$8,542","$8,926","$3,769","$3,620",$279,$167,"$110,685","$106,848","$46,942","$46,032","$2,527","$2,972","$213,334","$302,960","$4,721","$5,299","$2,911","$2,702","$2,158","$1,906"
Midwest,601 - Troy,601,9M-12M,50K-60K,"$15,998","$15,569","$7,589","$6,915",$0,$388,"$15,998","$15,569","$7,589","$6,915",$0,$388,"$174,323","$184,522","$72,239","$77,410","$3,877","$25,960","$375,694","$468,067","$6,167","$6,322","$29,637","$4,235","$2,426","$2,146"
Southwest,117 - Phoenix,117,Greater than 18M,40K-50K,"$33,017","$41,600","$14,553","$18,477",$0,"$2,664","$33,017","$41,600","$14,553","$18,477",$0,"$2,664","$500,679","$595,886","$217,241","$253,925","$5,746","$17,131","$666,764","$697,266","$15,052",$0,"$11,721","$6,970","$2,700","$2,340"
Southwest,123 - Reno,123,9M-12M,50K-60K,"$24,751","$28,484","$11,102","$13,036",$0,$845,"$24,751","$28,484","$11,102","$13,036",$0,$845,"$299,485","$325,053","$125,538","$138,022","$13,079","$8,691","$510,631","$523,504","$12,574","$15,642","$2,713","$1,927","$2,526","$2,214"
Southwest,126 - Albuquerque,126,15M-18M,40K-50K,"$32,670","$39,520","$13,529","$16,410",$0,$0,"$32,670","$39,520","$13,529","$16,410",$0,$0,"$400,535","$441,197","$166,894","$177,015","$5,778","$13,481","$615,148","$635,946","$13,653","$18,136","$8,920","$5,068","$2,629","$2,265"
Southwest,132 - Tucson,132,15M-18M,40K-50K,"$22,921","$37,113","$10,028","$16,329",$0,$0,"$22,921","$37,113","$10,028","$16,329",$0,$0,"$364,968","$439,927","$154,249","$188,316","$8,786","$9,367","$627,732","$630,864","$12,397",$0,"$9,827","$9,625","$2,637","$2,326"
Southwest,139 - Mesa,139,Greater than 18M,40K-50K,"$29,634","$43,214","$13,537","$19,221",$0,"$1,040","$29,634","$43,214","$13,537","$19,221",$0,"$1,040","$446,155","$612,072","$198,136","$257,219","$6,644","$11,652","$722,714","$772,896","$19,787",$0,"$13,539","$7,001","$2,697","$2,388"
Southwest,148 - St George,148,9M-12M,40K-50K,"$25,278","$41,065","$10,775","$19,543",$857,$799,"$25,278","$41,065","$10,775","$19,543",$857,$799,"$328,635","$414,857","$142,536","$181,148","$5,320","$10,081","$572,403","$522,712","$7,756",$0,"$4,165","$3,566","$2,581","$2,280"
Southwest,181 - Yuma,181,6M-9M,30K-40K,"$18,712","$21,131","$7,832","$9,425",$0,$0,"$18,712","$21,131","$7,832","$9,425",$0,$0,"$274,863","$287,418","$121,372","$130,336","$4,617","$7,724","$295,453","$299,930",$0,$0,"$5,867","$6,487","$2,384","$2,076"
Southwest,187 - Henderson,187,9M-12M,40K-50K,"$15,710","$20,875","$7,058","$8,959",$0,"$3,240","$15,710","$20,875","$7,058","$8,959",$0,"$3,240","$213,021","$249,001","$90,353","$107,469","$4,352","$9,426","$357,887","$396,444",$0,"$10,058","$4,630","$2,940","$2,453","$2,160"
Southwest,222 - Las Vegas,222,12M-15M,50K-60K,"$22,522","$30,798","$9,830","$12,707",$329,$0,"$22,522","$30,798","$9,830","$12,707",$329,$0,"$339,163","$358,806","$148,265","$154,822","$5,477","$9,305","$425,985","$458,946",$166,"$2,249","$9,361","$4,306","$2,550","$2,201"
Southwest,225 - Farmington,225,6M-9M,30K-40K,"$21,107","$22,800","$9,127","$10,392",$0,$135,"$21,107","$22,800","$9,127","$10,392",$0,$135,"$270,179","$303,370","$118,215","$131,827","$2,696","$8,412","$369,323","$330,673","$8,387","$11,131","$4,956","$4,964","$2,526","$2,132"
Southwest,229 - Carson City,229,9M-12M,40K-50K,"$22,719","$27,964","$10,332","$12,352",$0,"$1,004","$22,719","$27,964","$10,332","$12,352",$0,"$1,004","$255,377","$261,310","$112,774","$115,159","$12,596","$7,957","$348,041","$358,767","$10,351","$9,877","$3,045","$1,015","$2,460","$2,146"
Southwest,239 - Flagstaff,239,9M-12M,30K-40K,"$27,381","$36,442","$12,177","$16,975",$0,"$1,161","$27,381","$36,442","$12,177","$16,975",$0,"$1,161","$328,516","$343,115","$144,658","$150,521","$7,843","$12,799","$406,825","$373,924","$16,626","$12,098","$5,929","$7,906","$2,572","$2,177"
Southwest,244 - Show Low,244,6M-9M,20K-30K,"$18,825","$21,388","$8,618","$9,619",$0,"$1,267","$18,825","$21,388","$8,618","$9,619",$0,"$1,267","$212,038","$231,613","$95,159","$100,619","$3,743","$12,944","$271,549","$254,552",$0,"$1,936","$6,752","$3,563","$2,371","$2,043"
Southwest,251 - Las Cruces,251,6M-9M,20K-30K,"$22,985","$19,497","$9,965","$8,222",$292,$96,"$22,985","$19,497","$9,965","$8,222",$292,$96,"$268,549","$275,687","$117,517","$115,343","$4,811","$13,782","$286,134","$294,632",$0,"$9,758","$8,233","$4,703","$2,419","$2,050"
Southwest,252 - Avondale,252,9M-12M,30K-40K,"$16,794","$14,206","$6,771","$6,608",$0,$79,"$16,794","$14,206","$6,771","$6,608",$0,$79,"$183,960","$222,665","$79,407","$96,861","$4,527","$8,221","$326,343","$361,058","$7,464","$10,057","$3,501","$2,307","$2,372","$2,134"
Southwest,253 - Prescott,253,6M-9M,Less than 20K,"$15,457","$14,926","$6,758","$7,228","$1,332",$0,"$15,457","$14,926","$6,758","$7,228","$1,332",$0,"$196,728","$209,942","$85,818","$92,945","$3,519","$4,645","$237,620","$238,745",$0,"$7,151","$5,036","$3,159","$2,116","$1,837"
Southwest,257 - Chandler,257,6M-9M,30K-40K,"$11,295","$13,258","$5,306","$6,244",$0,$0,"$11,295","$13,258","$5,306","$6,244",$0,$0,"$162,829","$181,858","$74,183","$83,100","$3,816","$8,395","$307,148","$350,705","$5,684","$8,222","$4,333","$2,741","$2,307","$2,056"
Southwest,284 - South Tucson,284,Less than 6M,30K-40K,"$8,619","$13,823","$3,837","$7,072",$0,$0,"$8,619","$13,823","$3,837","$7,072",$0,$0,"$171,790","$191,743","$75,792","$85,159","$3,469","$4,401","$286,880","$294,305",$0,$0,"$3,578","$7,369","$2,178","$1,935"
Southwest,287 - Surprise,287,Less than 6M,30K-40K,"$13,208",,"$5,965",,$0,,"$13,208",,"$5,965",,$0,,"$189,447",,"$83,813",,"$2,795",,"$281,816",,"$6,339",,"$4,177",,"$2,029","$1,802"
California,149 - Rocklin,149,9M-12M,50K-60K,"$15,961","$18,140","$7,165","$7,869",$329,"$1,113","$15,961","$18,140","$7,165","$7,869",$329,"$1,113","$184,447","$207,025","$81,214","$88,152","$2,881","$5,250","$330,143","$404,314","$5,030",$0,"$2,070","$1,129","$2,344","$2,110"
California,176 - Fairfield,176,6M-9M,30K-40K,"$12,774","$12,594","$5,687","$5,548","$1,352",$0,"$12,774","$12,594","$5,687","$5,548","$1,352",$0,"$166,670","$189,693","$76,395","$84,961","$6,069","$3,876","$285,211","$315,181",$0,"$11,051","$2,953","$1,025","$2,278","$2,024"
California,183 - Visalia,183,6M-9M,30K-40K,"$19,136","$20,567","$8,098","$9,248",$0,"$2,126","$19,136","$20,567","$8,098","$9,248",$0,"$2,126","$196,879","$222,791","$87,605","$96,662","$2,905","$3,204","$257,764","$290,370",$0,$0,"$3,679","$2,292","$2,277","$2,014"
California,184 - Eureka,184,Less than 6M,20K-30K,"$18,956","$24,553","$8,851","$11,912","$1,274",$697,"$18,956","$24,553","$8,851","$11,912","$1,274",$697,"$199,081","$219,738","$88,498","$98,581","$3,331","$3,911","$273,121","$296,808","$5,870","$9,747","$1,896","$1,313","$2,295","$2,024"
California,186 - Stockton,186,6M-9M,30K-40K,"$8,739","$11,556","$4,043","$5,296",$517,$0,"$8,739","$11,556","$4,043","$5,296",$517,$0,"$119,914","$158,450","$52,786","$68,521","$2,752","$6,551","$268,883","$310,404","$3,236",$0,"$1,543",$881,"$2,267","$2,000"
California,197 - Brentwood,197,6M-9M,20K-30K,"$10,370","$18,245","$4,521","$8,890","$1,136",$243,"$10,370","$18,245","$4,521","$8,890","$1,136",$243,"$149,476","$170,199","$65,805","$77,223","$6,065","$5,604","$249,217","$288,767","$5,930","$4,492","$1,079",$939,"$2,143","$1,938"
California,198 - Corona,198,6M-9M,Less than 20K,"$8,325","$8,919","$3,733","$3,969",$0,$0,"$8,325","$8,919","$3,733","$3,969",$0,$0,"$117,788","$137,774","$49,296","$57,094","$2,178","$6,194","$179,829","$234,308","$1,180","$4,669","$1,469","$1,625","$2,003","$1,793"
California,217 - Murrieta,217,6M-9M,20K-30K,"$12,632","$13,870","$5,503","$6,429",$456,$0,"$12,632","$13,870","$5,503","$6,429",$456,$0,"$186,089","$194,511","$85,048","$87,386","$3,070","$3,538","$215,937","$232,692","$5,763","$7,295","$2,663","$2,404","$2,150","$1,852"
California,221 - Redding,221,9M-12M,40K-50K,"$31,955","$40,947","$13,909","$20,270",$0,$0,"$31,955","$40,947","$13,909","$20,270",$0,$0,"$382,490","$412,860","$167,324","$186,426","$22,361","$8,122","$514,019","$513,329","$16,303","$12,735","$7,999","$4,716","$2,477","$2,134"
California,232 - Chico,232,9M-12M,40K-50K,"$18,039","$25,980","$7,886","$11,731",$503,"$1,142","$18,039","$25,980","$7,886","$11,731",$503,"$1,142","$230,910","$297,207","$102,976","$129,730","$4,174","$8,072","$373,991","$389,218","$8,743","$15,838","$7,183","$1,560","$2,412","$2,097"
California,233 - Rancho Cordova,233,6M-9M,30K-40K,"$15,727","$15,978","$7,231","$7,486",$27,$14,"$15,727","$15,978","$7,231","$7,486",$27,$14,"$206,175","$224,039","$90,763","$99,100","$3,736","$3,448","$333,259","$322,867","$6,554","$11,022","$2,463",$899,"$2,345","$2,064"
